Rank,Player,Position,Age,Team,Played,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
310,Moses Moody,Shooting Guard,21,GSW,22,4,19,3.1,6.5,1.1,3.3,2,3.3,1.1,1.5,1.3,2.2,3.5,1,0.8,0.3,1.5,8.5
311,Wendell Moore Jr,Shooting Guard,22,MIN,2,0,2.5,0,1,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0
312,Marcus Morris,Power Forward,34,PHI,14,3,12.6,1.8,4,0.9,1.8,0.9,2.2,0.4,0.4,0.4,1.8,2.2,0.5,0.3,0.4,1.6,4.8
313,Markieff Morris,Power Forward,34,DAL,5,0,7.2,1,3.4,0.6,2,0.4,1.4,0,0,0.4,0.8,1.2,0.4,0,0,0.6,2.6
314,Trey Murphy III,Small Forward,23,NOP,3,0,24.7,6,13,3,8.3,3,4.7,1,1.3,0.3,2.3,2.7,1,0.3,0.7,0.7,16
315,Dejounte Murray,Shooting Guard,27,ATL,21,21,34.1,7.6,16.8,2.2,5.8,5.3,11,2.6,3,0.7,3.7,4.4,5.5,1.7,0.2,1.4,20
316,Jamal Murray,Point Guard,26,DEN,10,10,29.9,6.2,14.6,2.3,5.5,3.9,9.1,2.7,3,0.3,2.6,2.9,6.7,0.3,0.6,2.1,17.4
317,Keegan Murray,Small Forward,23,SAC,16,16,32.1,4.9,12.4,2.1,7.1,2.8,5.3,1.1,1.3,1.6,4.2,5.8,1.8,1.2,0.5,2.6,12.9
318,Kris Murray,Small Forward,23,POR,12,0,10.7,0.8,2.5,0.5,1.6,0.3,0.9,0.3,0.4,0.4,1.1,1.5,0.3,0.7,0.1,0.8,2.4
319,Mike Muscala,Center,32,WAS,9,1,11.4,1.3,2.8,0.6,1.6,0.8,1.2,0.7,0.7,0.2,1.9,2.1,0.9,0.2,0.3,0.9,3.9
320,Svi Mykhailiuk,Small Forward,26,BOS,8,0,7.4,0.8,2.1,0.5,1.8,0.3,0.4,0,0,0.1,0.5,0.6,0.1,0.4,0,0.5,2
321,Larry Nance Jr,Center,31,NOP,14,0,15.1,1.5,3,0.2,0.8,1.3,2.2,0.3,0.6,1.3,2.9,4.1,0.7,0.6,0.3,1.4,3.5
322,Andrew Nembhard,Point Guard,24,IND,17,2,18.1,3.1,6.7,0.5,2.2,2.5,4.5,0.4,0.5,0.5,1.2,1.7,4.1,0.9,0.1,1.9,7
323,Aaron Nesmith,Small Forward,24,IND,18,1,24.3,4,7.4,1.7,3.9,2.3,3.5,1.3,1.9,0.8,2.2,3.1,1,0.9,0.6,3.4,11
324,Georges Niang,Power Forward,30,CLE,22,1,22.5,3.2,7.5,1.6,4.5,1.6,3.1,0.5,0.6,0.4,3.6,4,1.3,0.3,0.1,2.3,8.6
325,Daishen Nix,Point Guard,21,MIN,5,0,4,0.6,1.6,0.4,1,0.2,0.6,0,0,0,0.2,0.2,0,0.2,0,0,1.6
326,Zeke Nnaji,Power Forward,23,DEN,19,0,10.5,1.3,2.7,0.2,0.4,1.2,2.3,0.9,1.5,1.2,1.1,2.3,0.4,0.2,0.5,1.4,3.7
327,Jaylen Nowell,Shooting Guard,24,MEM,7,1,20,3.1,7.1,0.6,2.9,2.6,4.3,0.4,0.4,0.4,1.6,2,1.9,0.4,0,1.7,7.3
328,Markquis Nowell,Shooting Guard,24,TOR,1,0,4,0,1,0,0,0,1,2,2,2,0,2,2,1,0,0,2
329,Jusuf Nurki,Center,29,PHO,22,22,28,4.4,9.4,0.7,2.5,3.7,6.9,2.4,3.5,2.7,6.4,9.1,3.8,1,1.2,3.6,11.8
330,Jordan Nwora,Small Forward,25,IND,5,0,14.6,2.8,6.8,0.8,3,2,3.8,0.6,0.8,1.2,1.8,3,1.2,0.8,0.2,1.6,7
331,Royce O Neale,Small Forward,30,BRK,20,5,29.1,2.8,7.4,2.5,6.2,0.4,1.2,0.3,0.5,0.8,4.7,5.5,3.5,0.8,0.9,3,8.3
332,Chuma Okeke,Small Forward,25,ORL,10,0,5,0.5,1.4,0.3,1,0.2,0.4,0,0,0.3,0.8,1.1,0.3,0.1,0,0,1.3
333,Josh Okogie,Shooting Guard,25,PHO,22,10,21.8,1.9,4.7,0.5,2.1,1.4,2.6,2,2.6,1.7,1.8,3.5,1.1,1,0.5,1.4,6.4
334,Onyeka Okongwu,Center,23,ATL,21,0,23,3.1,5.7,0.2,1.2,2.9,4.5,2,2.4,2.6,4.2,6.8,1.5,0.5,0.8,2.9,8.4
335,Isaac Okoro,Small Forward,23,CLE,13,5,24.5,2.7,5.5,0.7,1.9,2,3.6,0.9,1.3,1.1,2.2,3.2,1.5,1.1,0.5,2.4,7
336,Kelly Olynyk,Center,32,UTA,20,1,20.9,2.7,4.6,0.9,1.8,1.9,2.8,1.7,1.9,1.8,3.7,5.5,3.7,0.9,0.2,2.9,7.9
337,Eugene Omoruyi,Small Forward,26,WAS,12,0,6.6,2,3.2,0.4,1,1.6,2.2,1.1,1.4,0.8,1.1,1.8,0.7,0.4,0.1,0.9,5.5
338,Cedi Osman,Small Forward,28,SAS,21,1,19.6,3,6.7,1.4,3.8,1.6,2.9,0.5,0.8,0.5,1.8,2.3,1.7,0.5,0.2,1.7,8
339,Kelly Oubre Jr,Small Forward,28,PHI,10,5,27.5,5.6,11.1,1.6,4.4,4,6.7,2.5,3.3,1.4,3.3,4.7,0.7,1.3,0.4,2.1,15.3
340,Chris Paul,Point Guard,38,GSW,19,7,26.5,3.1,7.7,1.1,3.5,1.9,4.3,1.4,1.5,0.3,3.3,3.6,7.2,1.4,0.1,1.6,8.6
341,Cameron Payne,Point Guard,29,MIL,22,2,17,2.5,5.2,1.3,2.9,1.2,2.3,0.4,0.4,0,1.4,1.4,2.3,0.4,0.1,2,6.6
342,Gary Payton II,Shooting Guard,31,GSW,14,0,17.3,2.4,5.1,0.6,2,1.8,3.1,0.4,0.6,1.1,2.1,3.1,0.9,1.2,0.3,1.9,5.9
343,Filip Petrušev,Center,23,TOT,3,0,3.3,0.3,0.7,0,0,0.3,0.7,0.3,0.7,0,0.3,0.3,0,0,0,0.3,1
343,Filip Petrušev,Center,23,PHI,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
343,Filip Petrušev,Center,23,SAC,2,0,3.5,0.5,1,0,0,0.5,1,0.5,1,0,0,0,0,0,0,0.5,1.5
344,Julian Phillips,Small Forward,20,CHI,12,0,4.9,0.4,1.3,0,0.6,0.4,0.8,0.1,0.3,0.2,0.6,0.8,0.4,0.1,0,0.7,0.9
345,Jalen Pickett,Shooting Guard,24,DEN,11,0,6.7,0.8,1.8,0.5,1.3,0.4,0.5,0.2,0.2,0.1,0.8,0.9,0.6,0.3,0,0.6,2.3
346,Mason Plumlee,Center,33,LAC,6,0,17,2,3.2,0,0,2,3.2,1,2.3,1.3,4.2,5.5,1,0.7,0.2,1,5
347,Brandin Podziemski,Shooting Guard,20,GSW,16,0,19.2,2.8,6.1,1.1,2.4,1.7,3.6,0.8,1.1,1.2,3.3,4.4,2.3,0.5,0.1,1.7,7.3
348,Jakob Poeltl,Center,28,TOR,22,22,26.7,5,6.8,0,0,5,6.8,0.8,1.7,2.8,5.6,8.4,2.2,0.8,1.1,2.7,10.8
349,Aleksej Pokusevski,Power Forward,22,OKC,6,0,5.7,0.3,1.5,0.2,1,0.2,0.5,0.2,0.3,0.3,0.8,1.2,0.8,0,0.2,0.8,1
350,Jordan Poole,Shooting Guard,24,WAS,20,20,29.2,6.1,15,1.9,6.3,4.2,8.7,3.1,3.6,0.5,2.2,2.7,3.4,1.1,0.4,3.2,17
351,Craig Porter Jr,Point Guard,23,CLE,14,1,14.3,2.9,5.2,0.2,0.5,2.6,4.7,1.3,1.9,0.2,1.6,1.9,2.4,0.6,0.4,1.1,7.2
352,Michael Porter Jr,Small Forward,25,DEN,23,23,32,6.8,13.7,3,7.4,3.8,6.3,1,1.4,1.7,6.4,8.1,1.6,0.5,0.9,2.3,17.6
353,Otto Porter Jr,Small Forward,30,TOR,11,1,11.8,0.9,2.4,0.6,1.7,0.3,0.6,0.1,0.1,0.5,1.6,2.2,0.3,0.4,0.4,1.1,2.5
354,Bobby Portis,Power Forward,28,MIL,22,0,23.6,4.5,9.5,0.7,2.5,3.8,7,1.2,1.6,1.5,5.1,6.5,1.2,0.8,0.6,2.4,11
355,Kristaps Porziis,Center,28,BOS,16,16,30.2,6.6,12,1.7,5,4.9,7,4.3,5.3,1.4,5,6.4,1.8,0.8,1.6,3.3,19.1
356,Dwight Powell,Center,32,DAL,19,1,14.4,1.3,1.7,0.1,0.1,1.2,1.7,1.7,2.1,1.2,1.8,3,1.5,0.5,0.4,1.8,4.3
357,Norman Powell,Shooting Guard,30,LAC,21,0,24.3,4,8.6,1.8,4.1,2.2,4.5,2.2,2.6,0.2,1.8,2,1,0.7,0.4,1.9,12.1
358,Taurean Prince,Power Forward,29,LAL,21,21,29.4,3.3,7.8,1.6,4.5,1.7,3.3,0.6,0.9,0.3,2.2,2.5,1.4,0.8,0.4,2.2,8.8
359,Payton Pritchard,Point Guard,26,BOS,21,0,20.4,2.2,5.9,1.2,3.8,1,2.1,0.5,0.6,1,2.2,3.1,2.9,0.3,0,1,6.1
360,Olivier-Maxence Prosper,Power Forward,21,DAL,11,0,8.4,0.5,1.9,0.2,1.2,0.4,0.7,0.8,1.3,0.4,1.1,1.5,0.5,0.1,0,0.5,2.1
361,Neemias Queta,Center,24,BOS,3,0,10.3,1.3,3.3,0,0,1.3,3.3,1.3,1.7,2.7,3,5.7,0,0.3,0,0.7,4
362,Immanuel Quickley,Shooting Guard,24,NYK,21,0,24.2,5,11.7,2,5.6,3,6.1,3,3.3,0.2,2.7,2.9,2.8,0.4,0.1,1.6,15
363,Lester Quinones,Shooting Guard,23,GSW,2,0,4.5,1,3,0.5,2,0.5,1,0,0,0,0,0,0,0,0,0.5,2.5
364,Julius Randle,Power Forward,29,NYK,21,21,35,7.5,17.3,1.7,5.6,5.8,11.8,4.7,6.5,2.1,7.6,9.7,5.4,0.7,0.2,2.6,21.4
365,Duop Reath,Center,27,POR,13,3,15.1,2.5,6.2,1.4,4.1,1.2,2.1,1.1,1.2,0.8,1.7,2.5,1.2,0.6,0.3,2,7.5
366,Austin Reaves,Shooting Guard,25,LAL,23,8,29.1,4.9,10.4,1.4,4.2,3.5,6.2,3,3.5,0.9,3.8,4.7,4.7,1,0.1,1.4,14.1
367,Cam Reddish,Small Forward,24,LAL,19,12,24.1,2.4,5.8,0.8,2.7,1.5,3.1,1.5,1.8,0.6,2.2,2.8,1.2,1.4,0.3,1.7,7.1
368,Paul Reed,Center,24,PHI,21,1,14.1,2.3,3.9,0.2,0.5,2.1,3.4,0.3,0.4,1.7,2.5,4.2,1,0.5,0.6,2.1,5
369,Naz Reid,Center,24,MIN,21,0,21.9,4.8,9.7,1.6,4.4,3.2,5.3,1.4,1.5,1,3.4,4.5,0.8,0.7,0.6,1.5,12.6
370,Jared Rhoden,Shooting Guard,24,DET,5,0,6,1,1.8,0.2,0.8,0.8,1,0.4,0.4,0.2,0.6,0.8,0.6,0,0,0.8,2.6
371,Nick Richards,Center,26,CHO,14,1,18.2,2.9,4,0,0,2.9,4,2.6,3.1,1.9,4.4,6.2,0.4,0.4,1.2,2.7,8.4
372,Josh Richardson,Shooting Guard,30,MIA,19,4,27.9,3.9,8.5,1.4,4.3,2.5,4.2,1.4,1.5,0.5,2.1,2.6,3,0.6,0.3,1.9,10.7
373,Duncan Robinson,Small Forward,29,MIA,20,12,29.4,5.2,10.9,2.9,7,2.3,4,1.1,1.4,0.3,2.3,2.6,2.9,0.4,0.2,2.6,14.3
374,Jerome Robinson,Shooting Guard,26,GSW,1,0,5,0,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0
375,Mitchell Robinson,Center,25,NYK,21,21,29.2,2.8,4.7,0,0,2.8,4.7,0.7,1.8,5.3,5,10.3,0.7,1.5,1.3,1.9,6.2
376,Orlando Robinson,Center,23,MIA,8,3,18.6,3.1,5.4,0.8,0.9,2.4,4.5,0.9,1,1.5,4,5.5,2.4,0.6,0.6,2.1,7.9
377,Jeremiah Robinson-Earl,Power Forward,23,NOP,9,1,11.6,1.4,3,0.7,1.2,0.8,1.8,0.7,0.7,0.9,1.8,2.7,0.7,0.2,0,1,4.2
378,David Roddy,Power Forward,22,MEM,21,6,23.7,3.4,7.7,1,3.2,2.4,4.5,0.6,0.9,1,3.2,4.2,1,0.7,0.4,1.5,8.4
379,Ryan Rollins,Point Guard,21,WAS,8,0,6.1,1.1,2.3,0.1,0.3,1,2,1.6,2,0.3,1,1.3,1.3,1,0.3,0.8,4
380,Derrick Rose,Point Guard,35,MEM,12,4,18.9,3.6,8.1,0.7,1.9,2.9,6.2,1.1,1.3,0.5,1.3,1.8,3.3,0.6,0.1,1.1,8.9
381,Terry Rozier,Shooting Guard,29,CHO,11,11,36.7,8.5,18.6,2.1,6.4,6.5,12.3,3.5,4.1,0.5,3.1,3.6,7.2,0.9,0.5,2,22.6
382,Rayan Rupert,Shooting Guard,19,POR,7,0,4.4,0.1,1.7,0.1,0.9,0,0.9,0.3,0.6,0.1,0,0.1,0.3,0.3,0,0.1,0.7
383,D Angelo Russell,Point Guard,27,LAL,23,23,30.2,6.3,13,2.2,5.5,4,7.5,1.9,2.4,0.4,2.9,3.3,6.3,0.8,0.5,2,16.6
384,Matt Ryan,Small Forward,26,NOP,13,1,22.9,2.9,6.4,2.5,5.2,0.5,1.2,1,1.1,0.4,1.9,2.3,1.1,0.4,0.1,1.8,9.3
385,Domantas Sabonis,Center,27,SAC,20,20,35.3,7.1,12.4,0.5,1.3,6.6,11.1,4.1,6,3.5,8.7,12.2,7,0.9,0.8,3.6,18.8
386,Luka Šamani,Power Forward,24,UTA,10,0,6.2,1,2.9,0.3,1.3,0.7,1.6,0.1,0.1,0.3,1.4,1.7,0.2,0.1,0.2,0.5,2.4
387,Jermaine Samuels,Small Forward,25,HOU,5,0,5.8,0.4,0.8,0,0.4,0.4,0.4,0.4,0.4,0.2,1.2,1.4,0.4,0,0.2,0.6,1.2
388,Gui Santos,Power Forward,21,GSW,2,0,6,1,2,0,0.5,1,1.5,0,0,1,1,2,0.5,0,0,1,2
389,Dario Šari,Center,29,GSW,22,4,21.6,3.7,8.1,1.6,4.3,2,3.8,1.7,2.1,1.7,4.4,6.1,2.4,0.7,0.3,2.4,10.7
390,Olivier Sarr,Center,24,OKC,5,0,10.8,0.6,1.2,0.4,0.6,0.2,0.6,0.8,1.2,0.8,3.2,4,0.2,0,1,2,2.4
391,Marcus Sasser,Point Guard,23,DET,22,0,17.4,3,6.6,1.2,3.1,1.8,3.5,0.4,0.4,0.1,1.7,1.8,2.7,0.6,0.1,1.4,7.7
392,Admiral Schofield,Power Forward,26,ORL,6,0,3.7,0.5,1.5,0.2,1,0.3,0.5,0,0.3,0,0.5,0.5,0.2,0,0,0.8,1.2
393,Dennis Schroder,Point Guard,30,TOR,22,22,31.6,5.5,13.1,1.7,5,3.8,8,2.5,3,0.5,2.5,3,6.8,0.9,0.1,2.2,15.1
394,Dereon Seabron,Shooting Guard,23,NOP,5,0,10.4,0.8,2.6,0.2,0.4,0.6,2.2,1,1.2,0.2,1.2,1.4,0.8,0.4,0.2,0.8,2.8
395,Alperen Þengun,Center,21,HOU,19,19,32.9,8.5,15.7,0.8,2.6,7.7,13.1,2.9,4.6,2.5,6.5,9.1,5.7,0.9,0.8,3.2,20.8
396,Brice Sensabaugh,Small Forward,20,UTA,1,0,2,0,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0
397,Collin Sexton,Shooting Guard,25,UTA,22,0,20.5,4.1,9.3,1.1,3.3,3,6,3,3.5,0.8,1.8,2.6,3.3,0.5,0.2,1.7,12.3
398,Landry Shamet,Shooting Guard,26,WAS,15,0,16.9,3.2,6.7,1.6,4,1.6,2.7,0.3,0.7,0.1,1.3,1.4,1.5,0.6,0.1,2.1,8.3
399,Day Ron Sharpe,Center,22,BRK,21,0,16,2.8,5,0,0.2,2.8,4.8,1.4,2.2,2.5,4.3,6.8,0.9,0.4,0.8,2.3,7
400,Shaedon Sharpe,Shooting Guard,20,POR,21,20,37,6.4,15,2.2,6.1,4.2,9,3.4,4.1,1.5,4.3,5.8,3.5,1,0.4,3,18.4
401,Ben Sheppard,Shooting Guard,22,IND,9,0,6.4,1,2.4,0.6,1.7,0.4,0.8,0.2,0.2,0.1,0.4,0.6,0.6,0.1,0,0.7,2.8
402,Pascal Siakam,Power Forward,29,TOR,22,22,34.3,7.9,16,0.8,3.8,7.1,12.2,4.1,5.3,1.6,5.3,6.9,5,0.7,0.2,2.2,20.7
403,Ben Simmons,Point Guard,27,BRK,6,6,31.8,3.2,6,0,0,3.2,6,0.2,0.7,2.7,8.2,10.8,6.7,0.5,0.8,2.7,6.5
404,Anfernee Simons,Shooting Guard,24,POR,3,3,33.7,8.7,20.7,4,9.7,4.7,11,4,4,1.3,1.3,2.7,5.3,1,0,3,25.3
405,Jericho Sims,Center,25,NYK,9,0,2.8,0.2,0.3,0,0,0.2,0.3,0.1,0.3,0.1,1,1.1,0.1,0,0,0.1,0.6
406,Jalen Slawson,Small Forward,24,SAC,4,0,4.3,0.5,0.8,0,0.3,0.5,0.5,0,0,0,1,1,0.5,0,0.3,0.3,1
407,Marcus Smart,Point Guard,29,MEM,11,11,29.9,4.6,10.8,1.6,5.5,3,5.3,1.5,1.9,0.3,2.2,2.5,5,2,0.4,3.2,12.5
408,Dennis Smith Jr,Point Guard,26,BRK,13,0,17.6,2.6,6.2,0.5,1.7,2.1,4.5,0.9,1.1,0.8,2.2,3,3.5,0.8,0.2,2.2,6.7
409,Dru Smith,Shooting Guard,26,MIA,9,0,14.6,1.7,3.7,0.8,1.9,0.9,1.8,0.2,0.2,0.7,0.9,1.6,1.6,1,0.3,1.3,4.3
410,Ish Smith,Point Guard,35,CHO,14,0,15.6,1.5,2.5,0.1,0.1,1.4,2.4,0,0,0.3,1.4,1.7,2.5,0.4,0.1,1.1,3.1
411,Jabari Smith Jr,Power Forward,20,HOU,19,19,30.1,5,10.1,1.6,4.4,3.4,5.6,1.1,1.5,1.7,6.7,8.5,1.6,0.6,0.7,3.1,12.7
412,Jalen Smith,Center,23,IND,14,0,15.4,3.8,5.4,1,1.5,2.8,3.9,1.4,1.9,1.4,4.1,5.5,0.9,0.4,0.3,2.1,10
413,Nick Smith Jr,Shooting Guard,19,CHO,8,0,7.1,1.5,3.1,1,1.5,0.5,1.6,0,0,0.3,0.4,0.6,0.3,0.1,0.3,0.6,4
414,Jeremy Sochan,Point Guard,20,SAS,21,20,28.9,4.3,9.8,0.9,2.2,3.4,7.6,1.6,2,1.4,3.7,5.1,4.2,0.7,0.3,2.9,11
415,Jaden Springer,Shooting Guard,21,PHI,11,0,11.5,1.2,3.4,0.3,1.1,0.9,2.3,0.5,0.7,1.1,0.9,2,0.9,0.5,0.5,1.6,3.2
416,Lamar Stevens,Power Forward,26,BOS,6,0,3.3,0.7,1.2,0.2,0.2,0.5,1,0,0,0.7,0.3,1,0.3,0.2,0.2,0.7,1.5
417,Isaiah Stewart,Power Forward,22,DET,22,22,31,4,8.9,1.5,4,2.5,4.9,1.3,1.6,1.9,5.2,7.1,1.4,0.3,0.6,2.5,10.7
418,Julian Strawther,Small Forward,21,DEN,20,0,12.2,1.7,4.6,1,3.1,0.8,1.5,0.4,0.5,0.1,1.1,1.2,1,0.3,0.3,1.7,4.7
419,Max Strus,Small Forward,27,CLE,22,22,35,5.2,12.1,2.9,7.8,2.3,4.3,1,1.3,0.8,4.8,5.5,4,1,0.6,2.8,14.3
420,Jalen Suggs,Shooting Guard,22,ORL,20,20,26,4.2,9.4,1.6,4.3,2.7,5.1,2.2,2.7,0.7,2.8,3.5,2.7,1.9,0.6,2.9,12.2
421,Cole Swider,Small Forward,24,MIA,3,0,9.7,2,4.7,1.3,3.7,0.7,1,0,0,0,0.3,0.3,1,0.3,0.3,0.3,5.3
422,Jae Sean Tate,Small Forward,28,HOU,18,0,17.9,2.2,4.3,0.7,1.9,1.5,2.4,0.4,0.6,0.9,2.6,3.5,1.1,0.9,0.3,2.6,5.4
423,Jayson Tatum,Power Forward,25,BOS,21,21,36.7,9.6,19.4,3,8.6,6.6,10.8,5.2,6.6,0.7,8,8.7,4.2,1.1,0.3,2.2,27.5
424,Terry Taylor,Power Forward,24,CHI,5,0,2.4,0.2,0.2,0,0,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0.4
425,Garrett Temple,Shooting Guard,37,TOR,5,0,3.2,0.8,1,0.2,0.2,0.6,0.8,0.4,0.4,0,0.4,0.4,0.4,0.2,0,0,2.2
426,Dalen Terry,Shooting Guard,21,CHI,7,0,3.7,0.4,1.3,0.1,0.6,0.3,0.7,0,0.3,0.3,1.1,1.4,0.6,0,0.1,0.3,1
427,Daniel Theis,Center,31,TOT,11,0,16.7,3.1,6.7,0.5,1.2,2.6,5.5,0.5,0.9,2,2.5,4.5,1.1,0.3,1,2.5,7.1
427,Daniel Theis,Center,31,IND,1,0,8,1,4,0,1,1,3,0,0,0,0,0,0,0,0,1,2
427,Daniel Theis,Center,31,LAC,10,0,17.6,3.3,7,0.5,1.2,2.8,5.8,0.5,1,2.2,2.7,4.9,1.2,0.3,1.1,2.7,7.6
428,Cam Thomas,Shooting Guard,22,BRK,12,10,31.5,8.9,19.8,2.1,6.1,6.8,13.8,3.8,4.5,0.2,3.3,3.5,2.3,0.7,0.6,2,23.7
429,Amen Thompson,Small Forward,21,HOU,4,0,16.8,2.3,5.5,0.5,2.8,1.8,2.8,1.3,2,0.3,2.5,2.8,1.5,0.5,0.3,2.3,6.3
430,Ausar Thompson,Small Forward,21,DET,22,18,27.3,4.2,9.6,0.3,2.1,4,7.5,1.4,2,3,5.5,8.5,2.5,1,1.3,3.5,10.1
431,Klay Thompson,Small Forward,33,GSW,21,21,30.1,5.4,13.4,2.8,7.8,2.7,5.6,2.2,2.5,0.6,3.3,3.9,2.1,0.4,0.6,2.3,15.8
432,Tristan Thompson,Power Forward,32,CLE,17,0,9.1,1,1.5,0,0,1,1.5,0.4,1,1.1,1.4,2.5,0.6,0.1,0.4,0.8,2.4
433,JT Thor,Power Forward,21,CHO,17,1,16.5,1.5,3.6,0.7,1.9,0.8,1.7,0,0.2,0.8,2.1,2.9,0.6,0.2,0.3,1.2,3.8
434,Matisse Thybulle,Small Forward,26,POR,21,10,23.7,2.3,4.9,1.6,3.8,0.7,1,0.3,0.4,0.4,1.5,1.9,1.1,1.6,0.8,1.1,6.4
435,Xavier Tillman Sr,Center,25,MEM,11,5,21.6,3.3,7.8,0.7,2.5,2.5,5.4,0.5,1.1,1.5,3.2,4.7,1.8,1.5,0.8,1.9,7.7
436,Jacob Toppin,Small Forward,23,NYK,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
437,Obi Toppin,Power Forward,25,IND,20,19,24.8,5.2,8.5,1.3,3.4,4,5.1,1.4,1.7,1,2.2,3.2,1.4,0.7,0.6,2,13
438,Karl-Anthony Towns,Power Forward,28,MIN,21,21,33.2,7.9,15.5,2.1,5,5.8,10.5,3.9,4.3,1.1,7.8,9,3.1,0.9,0.7,3.4,21.9
439,Gary Trent Jr,Shooting Guard,25,TOR,19,2,25.5,3.9,10.1,1.8,5.2,2.1,4.9,1,1.7,0.2,1.8,2,1.4,0.7,0.1,1.1,10.6
440,PJ Tucker,Power Forward,38,TOT,15,3,15.9,0.4,1.3,0.3,1.1,0.1,0.2,0.2,0.2,1.1,1.8,2.9,0.5,0.6,0.2,2.3,1.3
440,PJ Tucker,Power Forward,38,PHI,3,3,22,0.7,1.7,0.7,1.7,0,0,0,0,0.3,4.3,4.7,0,1,0.7,3,2
440,PJ Tucker,Power Forward,38,LAC,12,0,14.4,0.3,1.2,0.3,0.9,0.1,0.3,0.3,0.3,1.3,1.2,2.4,0.7,0.5,0.1,2.2,1.2
441,Myles Turner,Center,27,IND,20,20,27.5,6.3,12.4,1.5,4.5,4.8,7.9,3.2,4.1,1.8,6.3,8,1.4,0.7,2.1,3.3,17.1
442,Hunter Tyson,Power Forward,23,DEN,7,0,2.6,0.1,0.6,0,0.4,0.1,0.1,0,0,0,0.6,0.6,0.1,0,0,0.7,0.3
443,Stanley Umude,Shooting Guard,24,DET,15,0,10.3,1.3,2.9,0.9,1.8,0.4,1.1,1.4,1.5,0.2,1.7,1.9,0.5,0.3,0.3,1.6,5
444,Jonas Valaninas,Center,31,NOP,23,23,26.7,5.4,9.7,0.7,1.9,4.7,7.8,2.4,2.9,2.3,6.5,8.8,2.3,0.4,1.3,3.2,14
445,Jarred Vanderbilt,Power Forward,24,LAL,3,0,14.3,0.3,2,0,1.3,0.3,0.7,0.3,0.7,1.7,3.3,5,1.3,0.3,0.3,1,1
446,Fred VanVleet,Point Guard,29,HOU,18,18,37.8,5.5,14.3,3.1,8.2,2.4,6.2,2.6,3,0.3,3.8,4.1,8.7,0.8,0.5,1.8,16.7
447,Devin Vassell,Shooting Guard,23,SAS,16,10,28.7,6.6,13.6,2.7,6.9,3.9,6.7,2.3,2.9,0.4,2.8,3.1,2.8,1,0.1,1.1,18.1
448,Sasha Vezenkov,Power Forward,28,SAC,17,0,14.4,2.4,5.3,1.3,3.4,1.1,1.9,0.4,0.5,0.6,1.8,2.4,0.4,0.5,0.3,1.2,6.4
449,Gabe Vincent,Point Guard,27,LAL,4,0,28.3,2.8,7,0.3,3.5,2.5,3.5,0.3,0.5,0.5,0.5,1,3,1.5,0,2.5,6
450,Nikola Vuevi,Center,33,CHI,23,23,34.3,6.8,15.1,0.9,3.4,6,11.7,1.5,1.8,3,7.3,10.3,3.2,0.8,0.7,2.7,16
451,Dean Wade,Power Forward,27,CLE,15,8,20.2,1.2,3.4,1,3.1,0.2,0.3,0.1,0.3,1.1,3.2,4.3,0.7,0.9,0.2,2.1,3.5
452,Franz Wagner,Small Forward,22,ORL,22,22,33.1,7.6,16.5,1.6,5,6,11.5,3.8,4.5,1.2,4.4,5.6,3.7,1.1,0.4,2,20.7
453,Moritz Wagner,Center,26,ORL,22,0,19.4,4.9,7.7,0.6,1.6,4.3,6,2.2,2.8,1.5,2.8,4.3,1.2,0.5,0.4,2.4,12.5
454,Ish Wainright,Small Forward,29,POR,2,0,2.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0
455,Jabari Walker,Small Forward,21,POR,21,0,18,2.8,6.3,0.5,2,2.3,4.2,1.2,1.6,1.5,3.3,4.8,0.7,0.8,0.4,2.4,7.4
456,Jarace Walker,Power Forward,20,IND,5,0,8.2,1.4,3.6,0,1,1.4,2.6,0.6,0.6,0.2,1.4,1.6,1.2,0.4,0.4,0.8,3.4
457,Lonnie Walker IV,Shooting Guard,25,BRK,17,0,21.3,5.2,10.6,2.6,5.6,2.6,5,1.7,2.2,0.2,2.5,2.6,1.6,0.6,0.4,0.9,14.6
458,Cason Wallace,Shooting Guard,20,OKC,21,4,22.1,2.9,4.9,1.1,2.1,1.8,2.8,0.6,0.7,0.5,1.8,2.3,1.2,0.6,0.4,1.6,7.5
459,PJ Washington,Power Forward,25,CHO,19,12,31.1,5.3,12.3,2,6.1,3.3,6.2,1.3,1.8,1.2,4.1,5.2,2.4,0.7,0.9,2.9,13.9
460,TyTy Washington Jr,Point Guard,22,MIL,2,0,3,0.5,1.5,0.5,1,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,1.5
461,Yuta Watanabe,Small Forward,29,PHO,16,0,18.3,1.7,4.6,1.4,3.8,0.3,0.9,0.6,0.8,0.6,1.8,2.3,0.6,0.4,0.4,1.6,5.3
